2024-04-02 18:43:39 status half-installed gpg-wks-server:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 status unpacked gpg-wks-server:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 install gpgsm:amd64 <none> 2.2.40-1.1+b1
2024-04-02 18:43:39 status half-installed gpgsm:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 status unpacked gpgsm:amd64 2.2.40-1.1+b1
2024-04-02 18:43:39 install gnupg:all <none> 2.2.40-1.1
2024-04-02 18:43:39 status half-installed gnupg:all 2.2.40-1.1
2024-04-02 18:43:39 status unpacked gnupg:all 2.2.40-1.1
2024-04-02 18:43:39 install javascript-common:all <none> 11+nmu1
2024-04-02 18:43:39 status half-installed javascript-common:all 11+nmu1
2024-04-02 18:43:39 status unpacked javascript-common:all 11+nmu1
2024-04-02 18:43:39 install libabsl20220623:amd64 <none> 20220623.1-3
2024-04-02 18:43:39 status half-installed libabsl20220623:amd64 20220623.1-3
2024-04-02 18:43:39 status unpacked libabsl20220623:amd64 20220623.1-3
2024-04-02 18:43:39 install libalgorithm-diff-perl:all <none> 1.201-1
2024-04-02 18:43:39 status half-installed libalgorithm-diff-perl:all 1.201-1
2024-04-02 18:43:39 status unpacked libalgorithm-diff-perl:all 1.201-1
2024-04-02 18:43:39 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-8+b2
2024-04-02 18:43:39 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-8+b2
2024-04-02 18:43:39 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-8+b2
2024-04-02 18:43:39 install libalgorithm-merge-perl:all <none> 0.08-5
2024-04-02 18:43:39 status half-installed libalgorithm-merge-perl:all 0.08-5
2024-04-02 18:43:39 status unpacked libalgorithm-merge-perl:all 0.08-5
2024-04-02 18:43:39 install libaom3:amd64 <none> 3.8.2-2
2024-04-02 18:43:39 status half-installed libaom3:amd64 3.8.2-2
2024-04-02 18:43:39 status unpacked libaom3:amd64 3.8.2-2
2024-04-02 18:43:39 install libdav1d7:amd64 <none> 1.4.1-1
2024-04-02 18:43:39 status half-installed libdav1d7:amd64 1.4.1-1
2024-04-02 18:43:39 status unpacked libdav1d7:amd64 1.4.1-1
2024-04-02 18:43:39 install libgav1-1:amd64 <none> 0.18.0-1+b1
2024-04-02 18:43:39 status half-installed libgav1-1:amd64 0.18.0-1+b1
2024-04-02 18:43:40 status unpacked libgav1-1:amd64 0.18.0-1+b1
2024-04-02 18:43:40 install librav1e0:amd64 <none> 0.7.1-2
2024-04-02 18:43:40 status half-installed librav1e0:amd64 0.7.1-2
2024-04-02 18:43:40 status unpacked librav1e0:amd64 0.7.1-2
2024-04-02 18:43:40 install libsharpyuv0:amd64 <none> 1.3.2-0.4
2024-04-02 18:43:40 status half-installed libsharpyuv0:amd64 1.3.2-0.4
2024-04-02 18:43:40 status unpacked libsharpyuv0:amd64 1.3.2-0.4
2024-04-02 18:43:40 install libsvtav1enc1d1:amd64 <none> 1.7.0+dfsg-2+b1
